	decimal_date	average	interpolated	Date
157	1971.292	327.78	327.78	1971-4
158	1971.375	328.92	328.92	1971-5
159	1971.458	328.57	328.57	1971-6
160	1971.542	327.34	327.34	1971-7
161	1971.625	325.46	325.46	1971-8
162	1971.708	323.36	323.36	1971-9
163	1971.792	323.57	323.57	1971-10
164	1971.875	324.8	324.8	1971-11
165	1971.958	326.01	326.01	1971-12
166	1972.042	326.77	326.77	1972-1
167	1972.125	327.63	327.63	1972-2
168	1972.208	327.75	327.75	1972-3
169	1972.292	329.72	329.72	1972-4
170	1972.375	330.07	330.07	1972-5
171	1972.458	329.09	329.09	1972-6
172	1972.542	328.05	328.05	1972-7
173	1972.625	326.32	326.32	1972-8
174	1972.708	324.93	324.93	1972-9
175	1972.792	325.06	325.06	1972-10
176	1972.875	326.5	326.5	1972-11
177	1972.958	327.55	327.55	1972-12
178	1973.042	328.54	328.54	1973-1
179	1973.125	329.56	329.56	1973-2
180	1973.208	330.3	330.3	1973-3
181	1973.292	331.5	331.5	1973-4
182	1973.375	332.48	332.48	1973-5
183	1973.458	332.07	332.07	1973-6
184	1973.542	330.87	330.87	1973-7
185	1973.625	329.31	329.31	1973-8
186	1973.708	327.51	327.51	1973-9
187	1973.792	327.18	327.18	1973-10
188	1973.875	328.16	328.16	1973-11
189	1973.958	328.64	328.64	1973-12
190	1974.042	329.35	329.35	1974-1
191	1974.125	330.71	330.71	1974-2
192	1974.208	331.48	331.48	1974-3
193	1974.292	332.65	332.65	1974-4
194	1974.375	333.2	333.2	1974-5
195	1974.458	332.16	332.16	1974-6
196	1974.542	331.07	331.07	1974-7
197	1974.625	329.12	329.12	1974-8
198	1974.708	327.32	327.32	1974-9
199	1974.792	327.28	327.28	1974-10
200	1974.875	328.3	328.3	1974-11
201	1974.958	329.58	329.58	1974-12
202	1975.042	330.73	330.73	1975-1
203	1975.125	331.46	331.46	1975-2
204	1975.208	331.9	331.9	1975-3
205	1975.292	333.17	333.17	1975-4
